id,label,statement,subject,speaker,speaker_job,state_info,party_affiliation
81f884c64a7,1,China is in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen.,"china,foreign-policy,military",donald-trump,President-Elect,New York,republican
30c2723a188,0,"With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed.",health-care,chris-dodd,U.S. senator,Connecticut,democrat
6936b216e5d,0,The (Wisconsin) governor has proposed tax giveaways to corporations.,"corporations,pundits,taxes,abc-news-week",donna-brazile,Political commentator,"Washington, D.C.",democrat
b5cd9195738,1,Says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,"candidates-biography,children,ethics,families,legal-issues",rebecca-bradley,,,none
84f8dac7737,0,"At protests in Wisconsin against proposed collective bargaining changes, phony sick notes (were) passed out to excuse striking union members.","health-care,labor,state-budget",republican-party-wisconsin,,Wisconsin,republican
d22b78a1570,1,Ron Klein sponsored an amendment that specifically allows price gouging.,candidates-biography,we-love-usa-pac,,,none
df58c465da8,0,Rhode Islands legislature is the strongest in the country.,"legal-issues,state-budget,states",lincoln-chafee,,Rhode Island,democrat
62d339fd0aa,1,Because of Barack Obama the mission in Iraq ended.,iraq,barack-obama,President,Illinois,democrat
32c82086791,0,"In the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",immigration,aclu-georgia-foundation,,,none
f3aadc05597,0,The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.,"economy,income,retirement,social-security,wealth",bernie-s,U.S. Senator,Vermont,independent
720c4601001,1,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.","candidates-biography,county-budget",jason-nassour,"Attorney, businessman",Texas,republican
240047a2e12,0,"Says hes arrested more criminals, including thousands of child predators and sex offenders, than any previous Texas attorney general.","crime,criminal-justice,job-accomplishments,public-safety",greg-abbott,governor,Texas,republican
d77c8f3c216,0,Barack Obama won't even use the term 'war on terrorism.',"iraq,military,pundits",sean-hannity,Radio/TV host,,none
